date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:12:40	100967/100967	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Sep%202024%2008:52:07%20GMT	https://www.myzappify.com/g2/en/index.html?loader=1&Affid=21969&s1=&s2=&s3=&s4=7302&s5=492a82c78a7e47eaad11c8d670edcbfd&domain1=www.elprsdnt.com&network_id=69	/Users/pauldurko/Desktop/ZappifyInterstitial/www.myzappify.com/g2/en/indexd178.html	(from )
13:12:41	44/44	---MCZ	200	added ('OK')	text/plain	etag:W/%2274fbfebf3942065c028a95be650ac479%22	https://www.myzappify.com/robots.txt		(from )
13:12:41	1023/1023	---M--	200	added ('OK')	image/png	etag:%2265d6e8a0e258e6b42c07d5a301c76d71%22	https://www.myzappify.com/g2/en/assets/image/aa6d2ce0-f3c4-4c9d-9f7c-3b61f962d1c0/65f3b3f915d64d0d58f17444/e8bcf3b1-e213-4497-ab48-eb17952e286b/favicon-7582d1b3-798b-4096-ae64-db073ccf3b82.png	/Users/pauldurko/Desktop/ZappifyInterstitial/www.myzappify.com/g2/en/assets/image/aa6d2ce0-f3c4-4c9d-9f7c-3b61f962d1c0/65f3b3f915d64d0d58f17444/e8bcf3b1-e213-4497-ab48-eb17952e286b/favicon-7582d1b3-798b-4096-ae64-db073ccf3b82.png	(from https://www.myzappify.com/g2/en/index.html?loader=1&Affid=21969&s1=&s2=&s3=&s4=7302&s5=492a82c78a7e47eaad11c8d670edcbfd&domain1=www.elprsdnt.com&network_id=69)
13:12:43	46253/46253	---MCZ	200	added ('OK')	text/javascript	etag:W/%2226c05e5f6600db244d8ed423bf1c9fbc%22	https://www.myzappify.com/g2/en/assets/js/ctrwowUtils-v3.0.0.min.js?v=1725526320636	/Users/pauldurko/Desktop/ZappifyInterstitial/www.myzappify.com/g2/en/assets/js/ctrwowUtils-v3.0.0.min1de2.js	(from https://www.myzappify.com/g2/en/index.html?loader=1&Affid=21969&s1=&s2=&s3=&s4=7302&s5=492a82c78a7e47eaad11c8d670edcbfd&domain1=www.elprsdnt.com&network_id=69)
13:12:44	63360/63360	---MCZ	200	added ('OK')	text/css	etag:W/%227d3fa5b7cddcf3a310b107c883974d9f%22	https://www.myzappify.com/g2/en/assets/css/index.css?v=1725526320636	/Users/pauldurko/Desktop/ZappifyInterstitial/www.myzappify.com/g2/en/assets/css/index1de2.css	(from https://www.myzappify.com/g2/en/index.html?loader=1&Affid=21969&s1=&s2=&s3=&s4=7302&s5=492a82c78a7e47eaad11c8d670edcbfd&domain1=www.elprsdnt.com&network_id=69)
13:12:45	23868/23868	---MCZ	200	added ('OK')	font/ttf	etag:W/%2207dc82d115dd6f235e281008f2617946%22	https://www.myzappify.com/g2/en/assets/image/aa6d2ce0-f3c4-4c9d-9f7c-3b61f962d1c0/65f3b3f915d64d0d58f17444/aff7649c-5dd5-4c55-add8-03a5d053486f/helvetica-bold.ttf	/Users/pauldurko/Desktop/ZappifyInterstitial/www.myzappify.com/g2/en/assets/image/aa6d2ce0-f3c4-4c9d-9f7c-3b61f962d1c0/65f3b3f915d64d0d58f17444/aff7649c-5dd5-4c55-add8-03a5d053486f/helvetica-bold.ttf	(from https://www.myzappify.com/g2/en/index.html?loader=1&Affid=21969&s1=&s2=&s3=&s4=7302&s5=492a82c78a7e47eaad11c8d670edcbfd&domain1=www.elprsdnt.com&network_id=69)
13:12:45	659/659	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2023%20May%202025%2017:12:46%20GMT	https://www.myzappify.com/g2/en/assets/image/584ea331-0cd2-4c48-85d9-737f9dddfa0b/6057ffee320ed30dfcfb719a/c8fa7189-e203-40e7-a4da-035746e2c40b/helvetica.ttf	/Users/pauldurko/Desktop/ZappifyInterstitial/www.myzappify.com/g2/en/assets/image/584ea331-0cd2-4c48-85d9-737f9dddfa0b/6057ffee320ed30dfcfb719a/c8fa7189-e203-40e7-a4da-035746e2c40b/helvetica.ttf	(from https://www.myzappify.com/g2/en/index.html?loader=1&Affid=21969&s1=&s2=&s3=&s4=7302&s5=492a82c78a7e47eaad11c8d670edcbfd&domain1=www.elprsdnt.com&network_id=69)
13:12:46	664/664	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2023%20May%202025%2017:12:47%20GMT	https://www.myzappify.com/g2/en/assets/image/584ea331-0cd2-4c48-85d9-737f9dddfa0b/62aa95be1e6f07045c9f650e/e0743aac-a6ac-49dc-ad05-4ef634fa417c/helvetica-bold.otf	/Users/pauldurko/Desktop/ZappifyInterstitial/www.myzappify.com/g2/en/assets/image/584ea331-0cd2-4c48-85d9-737f9dddfa0b/62aa95be1e6f07045c9f650e/e0743aac-a6ac-49dc-ad05-4ef634fa417c/helvetica-bold.otf	(from https://www.myzappify.com/g2/en/index.html?loader=1&Affid=21969&s1=&s2=&s3=&s4=7302&s5=492a82c78a7e47eaad11c8d670edcbfd&domain1=www.elprsdnt.com&network_id=69)
13:12:47	659/659	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2023%20May%202025%2017:12:49%20GMT	https://www.myzappify.com/g2/en/assets/image/584ea331-0cd2-4c48-85d9-737f9dddfa0b/62aa95be1e6f07045c9f650e/67893d60-bd93-435f-a706-3c606d46070f/helvetica.ttf	/Users/pauldurko/Desktop/ZappifyInterstitial/www.myzappify.com/g2/en/assets/image/584ea331-0cd2-4c48-85d9-737f9dddfa0b/62aa95be1e6f07045c9f650e/67893d60-bd93-435f-a706-3c606d46070f/helvetica.ttf	(from https://www.myzappify.com/g2/en/index.html?loader=1&Affid=21969&s1=&s2=&s3=&s4=7302&s5=492a82c78a7e47eaad11c8d670edcbfd&domain1=www.elprsdnt.com&network_id=69)
13:12:49	23747/23747	---MCZ	200	added ('OK')	text/javascript	etag:W/%226d012327f024a6d5a4302ae51fe7d231%22	https://www.myzappify.com/g2/en/assets/js/CTR_FP_TRACKING-v2.9.2.min.js?v=1725526320636	/Users/pauldurko/Desktop/ZappifyInterstitial/www.myzappify.com/g2/en/assets/js/CTR_FP_TRACKING-v2.9.2.min1de2.js	(from https://www.myzappify.com/g2/en/index.html?loader=1&Affid=21969&s1=&s2=&s3=&s4=7302&s5=492a82c78a7e47eaad11c8d670edcbfd&domain1=www.elprsdnt.com&network_id=69)
